,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
1701,36.02,1063.5,36.02,915.117,36.02,999.367,36.02,299.479,36.02,890.027,36.02,168.589,36.02,86.4779,36.02,73.6515,36.02,172.646,36.02,216.885,36.02,241.803,36.02,81.5341,36.02,163.499,36.02,165.574,36.02,162.538,36.02,149.44,36.02,415.758,36.02,86.997,36.02,177.668,36.02,38.1489,36.02,23.1261,36.02,165.294,36.02,987.005,36.02,41.0069,36.02,288.444,36.02,75.7824,36.02,17.3802,36.02,64.0789,36.02,280.153,36.02,25.0921,36.02,5.61762,36.02,30.2932,36.02,14.1041,36.02,11.6806,36.02,11.4908,36.02,296.423,36.02,107.162,36.02,107.162,36.02,325.939,36.02,10.8248,36.02,17.4942,36.02,65.8986,36.02,417.357,36.02,16.1079,36.02,146.608,36.02,22.9774,36.02,53.2224,36.02,114.763,36.02,151.26,36.02,373.044,36.02,339.919,36.02,69.0905,36.02,31.6915,36.02,90.3754,36.02,454.055,36.02,175.538,36.02,84.1735,36.02,412.691,36.02,37.5812,36.02,512.554,36.02,38.8385,36.02,43.9581,36.02,84.7059,36.02,19.1832,36.02,25.6684,36.02,74.9402,36.02,217.808,36.02,87.5142,36.02,1308.46,36.02,327.75,36.02,280.77
1702,36.04,789.293,36.04,992.438,36.04,843.08,36.04,249.719,36.04,775.905,36.04,168.537,36.04,87.1646,36.04,56.6824,36.04,127.188,36.04,181.554,36.04,265.747,36.04,87.2391,36.04,156.975,36.04,158.798,36.04,156.032,36.04,123.112,36.04,285.208,36.04,89.4164,36.04,142.741,36.04,39.041,36.04,27.9298,36.04,134.42,36.04,946.655,36.04,35.1762,36.04,201.909,36.04,82.7169,36.04,21.3134,36.04,59.3595,36.04,319.87,36.04,26.2466,36.04,5.22718,36.04,35.9435,36.04,15.2334,36.04,12.5805,36.04,12.2853,36.04,329.1,36.04,128.421,36.04,128.421,36.04,417.937,36.04,10.8561,36.04,16.4254,36.04,84.5498,36.04,496.555,36.04,17.5318,36.04,117.779,36.04,21.5962,36.04,51.6996,36.04,136.617,36.04,226.743,36.04,532.29,36.04,296.965,36.04,76.93,36.04,33.1898,36.04,106.959,36.04,366.939,36.04,140.497,36.04,113.926,36.04,464.324,36.04,33.9895,36.04,351.015,36.04,33.2154,36.04,47.1707,36.04,94.0895,36.04,21.7813,36.04,22.4064,36.04,59.8317,36.04,190.056,36.04,92.3745,36.04,871.316,36.04,286.097,36.04,245.72
1703,36.06,562.976,36.06,967.821,36.06,736.327,36.06,233.328,36.06,688.849,36.06,174.822,36.06,97.6966,36.06,42.0725,36.06,99.7627,36.06,154.515,36.06,280.568,36.06,92.5803,36.06,163.447,36.06,165.13,36.06,162.414,36.06,103.782,36.06,207.367,36.06,103.429,36.06,113.692,36.06,42.0695,36.06,33.5533,36.06,103.344,36.06,733.547,36.06,30.7665,36.06,155.179,36.06,93.4312,36.06,28.3461,36.06,58.1004,36.06,407.953,36.06,28.9245,36.06,5.14147,36.06,43.933,36.06,16.5602,36.06,13.6376,36.06,13.2099,36.06,384.006,36.06,152.126,36.06,152.126,36.06,464.379,36.06,10.976,36.06,15.3986,36.06,113.137,36.06,518.339,36.06,19.3543,36.06,100.355,36.06,22.1753,36.06,53.9252,36.06,174.811,36.06,316.023,36.06,636.602,36.06,219.569,36.06,90.0356,36.06,35.3052,36.06,128.022,36.06,326.004,36.06,119.293,36.06,161.581,36.06,402.008,36.06,30.9809,36.06,246.776,36.06,28.0845,36.06,49.741,36.06,80.9033,36.06,26.2016,36.06,18.862,36.06,47.2873,36.06,169.788,36.06,103.31,36.06,608.095,36.06,254.43,36.06,219.449
1704,36.08,420.913,36.08,849.071,36.08,646.201,36.08,258.084,36.08,649.017,36.08,187.02,36.08,121.009,36.08,32.0477,36.08,85.8674,36.08,147.922,36.08,297.866,36.08,93.5144,36.08,182.505,36.08,184.121,36.08,181.289,36.08,89.6361,36.08,158.797,36.08,130.214,36.08,95.2278,36.08,47.6002,36.08,36.0019,36.08,81.0903,36.08,507.491,36.08,27.3859,36.08,136.18,36.08,108.319,36.08,39.9722,36.08,59.9066,36.08,498.408,36.08,30.8496,36.08,5.05978,36.08,55.9961,36.08,18.1296,36.08,14.886,36.08,14.2908,36.08,402.344,36.08,167.076,36.08,167.076,36.08,460.623,36.08,11.1822,36.08,14.3882,36.08,149.316,36.08,437.067,36.08,21.7181,36.08,90.1752,36.08,25.1582,36.08,60.9418,36.08,220.525,36.08,362.779,36.08,577.804,36.08,155.113,36.08,111.993,36.08,38.2144,36.08,160.44,36.08,316.421,36.08,106.462,36.08,227.465,36.08,293.083,36.08,28.4415,36.08,185.339,36.08,24.2616,36.08,47.0797,36.08,59.7951,36.08,30.6437,36.08,16.4569,36.08,39.6883,36.08,155.192,36.08,120.93,36.08,448.218,36.08,230.291,36.08,199.877
1705,36.1,349.931,36.1,772.383,36.1,544.728,36.1,330.45,36.1,635.168,36.1,208.016,36.1,161.838,36.1,25.6803,36.1,85.2512,36.1,166.082,36.1,318.7,36.1,91.7434,36.1,199.017,36.1,200.391,36.1,197.646,36.1,79.1794,36.1,126.376,36.1,168.988,36.1,85.1616,36.1,56.0774,36.1,32.3164,36.1,68.4811,36.1,343.719,36.1,24.7836,36.1,135.209,36.1,130.348,36.1,56.6306,36.1,65.0589,36.1,494.979,36.1,32.6265,36.1,5.05189,36.1,75.1082,36.1,20.0012,36.1,16.371,36.1,15.5621,36.1,357.956,36.1,174.741,36.1,174.741,36.1,467.048,36.1,11.4753,36.1,13.8723,36.1,182.984,36.1,326.537,36.1,24.8415,36.1,84.7668,36.1,30.7492,36.1,75.0433,36.1,242.081,36.1,317.023,36.1,422.884,36.1,112.739,36.1,149.497,36.1,42.2109,36.1,217.331,36.1,333.817,36.1,99.3892,36.1,288.113,36.1,203.287,36.1,26.2885,36.1,150.431,36.1,21.542,36.1,40.0809,36.1,43.2183,36.1,33.9299,36.1,15.507,36.1,36.211,36.1,145.151,36.1,139.687,36.1,345.718,36.1,212.101,36.1,185.74
1706,36.12,335.863,36.12,786.148,36.12,460.031,36.12,456.575,36.12,685.805,36.12,243.728,36.12,222.272,36.12,21.6664,36.12,95.5678,36.12,212.553,36.12,336.292,36.12,93.0079,36.12,195.775,36.12,196.539,36.12,194.422,36.12,71.5228,36.12,103.39,36.12,199.286,36.12,82.1097,36.12,67.8027,36.12,26.2461,36.12,63.6734,36.12,241.974,36.12,22.8052,36.12,142.361,36.12,163.027,36.12,73.3464,36.12,74.6715,36.12,388.348,36.12,35.1087,36.12,5.1631,36.12,105.368,36.12,22.6673,36.12,18.1527,36.12,17.0686,36.12,304.056,36.12,181.191,36.12,181.191,36.12,481.944,36.12,11.8514,36.12,13.548,36.12,215.724,36.12,243.702,36.12,29.0806,36.12,78.6992,36.12,37.2082,36.12,98.8144,36.12,230.621,36.12,229.167,36.12,283.646,36.12,87.7789,36.12,213.032,36.12,47.744,36.12,313.566,36.12,384.657,36.12,97.0629,36.12,291.439,36.12,145.361,36.12,24.4512,36.12,130.762,36.12,19.581,36.12,33.2131,36.12,33.0996,36.12,39.8031,36.12,16.03,36.12,35.7315,36.12,139.027,36.12,147.612,36.12,275.631,36.12,198.88,36.12,176.357
1707,36.14,374.062,36.14,843.941,36.14,390.806,36.14,613.768,36.14,837.978,36.14,307.126,36.14,288.66,36.14,19.034,36.14,115.117,36.14,286.162,36.14,331.394,36.14,97.2083,36.14,187.859,36.14,187.812,36.14,186.574,36.14,66.1717,36.14,85.9357,36.14,189.011,36.14,85.7818,36.14,85.0316,36.14,21.299,36.14,65.2329,36.14,183.554,36.14,21.3794,36.14,147.541,36.14,214.231,36.14,76.0123,36.14,91.3227,36.14,269.263,36.14,37.9443,36.14,5.25503,36.14,150.14,36.14,25.4266,36.14,20.6436,36.14,19.2588,36.14,279.961,36.14,180.181,36.14,180.181,36.14,439.767,36.14,12.3309,36.14,13.3873,36.14,258.775,36.14,196.959,36.14,35.076,36.14,70.7351,36.14,38.6614,36.14,132.438,36.14,214.064,36.14,155.61,36.14,189.489,36.14,73.5677,36.14,314.645,36.14,55.0671,36.14,463.882,36.14,485.412,36.14,99.355,36.14,238.236,36.14,112.465,36.14,22.8829,36.14,120.001,36.14,18.0878,36.14,28.1113,36.14,28.004,36.14,51.9692,36.14,17.4251,36.14,37.6828,36.14,136.57,36.14,142.725,36.14,225.118,36.14,190.096,36.14,171.527
1708,36.16,466.239,36.16,879.861,36.16,332.287,36.16,708.318,36.16,1054.38,36.16,417.568,36.16,315.074,36.16,17.2158,36.16,133.922,36.16,365.992,36.16,298.672,36.16,97.0091,36.16,197.488,36.16,196.342,36.16,196.109,36.16,62.9749,36.16,73.5471,36.16,147.818,36.16,98.0034,36.16,114.637,36.16,18.0611,36.16,72.6085,36.16,152.203,36.16,20.5245,36.16,144.838,36.16,298.112,36.16,61.4636,36.16,120.091,36.16,181.977,36.16,41.2071,36.16,5.38658,36.16,204.466,36.16,28.836,36.16,23.3053,36.16,21.4493,36.16,284.185,36.16,166.814,36.16,166.814,36.16,344.172,36.16,12.915,36.16,13.3595,36.16,293.527,36.16,181.691,36.16,43.2978,36.16,64.8547,36.16,32.8438,36.16,167.2,36.16,194.424,36.16,107.648,36.16,132.488,36.16,65.7425,36.16,455.808,36.16,65.5067,36.16,654.408,36.16,661.929,36.16,106.425,36.16,182.201,36.16,96.197,36.16,21.5462,36.16,115.195,36.16,16.8864,36.16,24.6084,36.16,26.4239,36.16,72.9407,36.16,20.1233,36.16,42.1976,36.16,137.869,36.16,135.553,36.16,187.364,36.16,185.576,36.16,171.83
1709,36.18,600.188,36.18,837.294,36.18,297.152,36.18,660.576,36.18,1159.13,36.18,600.078,36.18,286.601,36.18,15.9238,36.18,131.497,36.18,414.505,36.18,259.5,36.18,87.8958,36.18,238.355,36.18,235.76,36.18,236.633,36.18,62.187,36.18,63.5476,36.18,108.235,36.18,121.621,36.18,165.006,36.18,16.1297,36.18,86.0532,36.18,138.476,36.18,20.3583,36.18,138.187,36.18,435.794,36.18,43.6879,36.18,169.309,36.18,126.679,36.18,44.993,36.18,5.55609,36.18,240.279,36.18,33.122,36.18,26.62,36.18,24.1325,36.18,291.006,36.18,140.573,36.18,140.573,36.18,257.382,36.18,13.6158,36.18,13.4784,36.18,284.364,36.18,195.243,36.18,57.8166,36.18,63.2511,36.18,25.4813,36.18,188.484,36.18,157.944,36.18,79.2348,36.18,99.3589,36.18,61.7227,36.18,589.904,36.18,78.7698,36.18,781.969,36.18,937.212,36.18,117.447,36.18,148.64,36.18,91.4987,36.18,20.4133,36.18,115.064,36.18,15.8804,36.18,22.1889,36.18,27.4416,36.18,100.749,36.18,21.3729,36.18,50.7347,36.18,143.431,36.18,137.312,36.18,158.415,36.18,185.763,36.18,178.792
1710,36.2,700.229,36.2,747.795,36.2,279.47,36.2,565.914,36.2,1002.03,36.2,871.076,36.2,252.5,36.2,15.0188,36.2,107.742,36.2,402.192,36.2,234.113,36.2,79.9335,36.2,314.201,36.2,309.732,36.2,311.863,36.2,64.5886,36.2,55.6687,36.2,80.4388,36.2,161.449,36.2,240.126,36.2,14.4357,36.2,104.005,36.2,139.007,36.2,21.0697,36.2,130.736,36.2,648.4,36.2,30.3904,36.2,249.295,36.2,93.5188,36.2,49.4283,36.2,5.76393,36.2,232.305,36.2,38.6309,36.2,30.823,36.2,27.4731,36.2,282.069,36.2,110.787,36.2,110.787,36.2,203.894,36.2,14.4493,36.2,13.7261,36.2,239.324,36.2,239.538,36.2,82.1354,36.2,66.7953,36.2,20.3219,36.2,184.658,36.2,117.435,36.2,63.1265,36.2,80.2021,36.2,60.2728,36.2,624.023,36.2,94.7136,36.2,718.377,36.2,1285.24,36.2,128.604,36.2,137.859,36.2,97.2035,36.2,19.4641,36.2,119.238,36.2,15.0179,36.2,20.4394,36.2,31.1368,36.2,120.142,36.2,19.5215,36.2,65.2398,36.2,154.375,36.2,153.085,36.2,135.77,36.2,191.697,36.2,195.848
1711,36.22,658.563,36.22,708.603,36.22,256.266,36.22,523.553,36.22,732.038,36.22,1177.07,36.22,242.558,36.22,14.4365,36.22,85.4103,36.22,337.221,36.22,224.316,36.22,80.9564,36.22,411.402,36.22,405.283,36.22,408.38,36.22,71.4901,36.22,49.387,36.22,63.6339,36.22,211.698,36.22,321.667,36.22,13.8172,36.22,126.136,36.22,154.204,36.22,22.7621,36.22,128.175,36.22,926.779,36.22,21.9665,36.22,364.25,36.22,73.5573,36.22,55.4143,36.22,6.01215,36.22,210.485,36.22,45.9342,36.22,36.2762,36.22,31.7181,36.22,268.518,36.22,86.4569,36.22,86.4569,36.22,183.108,36.22,15.4363,36.22,14.1023,36.22,196.852,36.22,315.895,36.22,122.225,36.22,77.1915,36.22,17.3385,36.22,153.829,36.22,86.8336,36.22,54.4829,36.22,68.3423,36.22,60.6399,36.22,569.008,36.22,117.133,36.22,541.511,36.22,1532.9,36.22,137.754,36.22,141.697,36.22,115.237,36.22,18.6748,36.22,127.972,36.22,14.2682,36.22,19.0858,36.22,38.3155,36.22,110.637,36.22,16.5234,36.22,88.8173,36.22,172.963,36.22,185.595,36.22,117.77,36.22,205.83,36.22,229.024
1712,36.24,524.723,36.24,733.909,36.24,230.652,36.24,538.521,36.24,510.903,36.24,1323.12,36.24,250.164,36.24,14.1565,36.24,67.7456,36.24,265.012,36.24,225.95,36.24,93.3232,36.24,479.1,36.24,473.545,36.24,475.948,36.24,84.3034,36.24,44.3399,36.24,53.7489,36.24,242.142,36.24,348.219,36.24,13.4773,36.24,159.744,36.24,185.614,36.24,24.8775,36.24,141.554,36.24,1176.06,36.24,16.9759,36.24,484.073,36.24,61.0215,36.24,61.7437,36.24,6.30449,36.24,212.103,36.24,56.0641,36.24,43.5806,36.24,37.2654,36.24,275.68,36.24,71.78,36.24,71.78,36.24,191.04,36.24,16.6038,36.24,14.6115,36.24,180.767,36.24,404.628,36.24,182.868,36.24,98.1142,36.24,15.6986,36.24,119.784,36.24,66.5258,36.24,50.1155,36.24,61.5222,36.24,63.3239,36.24,485.7,36.24,153.677,36.24,387.488,36.24,1513.52,36.24,151.862,36.24,142.902,36.24,148.53,36.24,18.0634,36.24,142.16,36.24,13.6118,36.24,17.9842,36.24,51.9891,36.24,82.8005,36.24,14.2652,36.24,123.176,36.24,203.843,36.24,241.35,36.24,103.274,36.24,233.007,36.24,286.426
1713,36.26,410.805,36.26,728.223,36.26,220.108,36.26,552.952,36.26,369.605,36.26,1161.58,36.26,263.051,36.26,14.2342,36.26,57.6719,36.26,202.051,36.26,238.102,36.26,116.085,36.26,492.059,36.26,489.966,36.26,489.578,36.26,101.451,36.26,40.2745,36.26,48.1212,36.26,218.775,36.26,288.778,36.26,13.3174,36.26,207.967,36.26,236.303,36.26,25.3985,36.26,179.636,36.26,1220.9,36.26,14.036,36.26,528.825,36.26,52.8222,36.26,69.4583,36.26,6.64654,36.26,253.861,36.26,70.9509,36.26,53.819,36.26,44.8203,36.26,307.359,36.26,66.4744,36.26,66.4744,36.26,223.643,36.26,17.9871,36.26,15.2626,36.26,195.608,36.26,437.047,36.26,256.099,36.26,135.218,36.26,15.1499,36.26,97.8949,36.26,55.2839,36.26,48.6335,36.26,57.2535,36.26,68.348,36.26,373.653,36.26,212.225,36.26,292.838,36.26,1410.24,36.26,180.514,36.26,129.741,36.26,195.066,36.26,17.6211,36.26,163.611,36.26,13.0361,36.26,17.06,36.26,75.1881,36.26,57.3898,36.26,13.0856,36.26,161.18,36.26,256.345,36.26,319.588,36.26,91.4848,36.26,281.27,36.26,373.727
1714,36.28,357.497,36.28,608.932,36.28,222.091,36.28,541.317,36.28,287.27,36.28,858.91,36.28,298.196,36.28,14.6366,36.28,52.6593,36.28,151.66,36.28,247.688,36.28,143.812,36.28,492.437,36.28,494.093,36.28,490.833,36.28,115.968,36.28,37.0152,36.28,44.9853,36.28,166.55,36.28,203.902,36.28,13.2885,36.28,252.359,36.28,302.893,36.28,23.1607,36.28,249.841,36.28,1048.73,36.28,12.2329,36.28,483.564,36.28,47.462,36.28,79.0423,36.28,7.04619,36.28,342.798,36.28,93.9766,36.28,68.9939,36.28,55.7171,36.28,328.678,36.28,67.0577,36.28,67.0577,36.28,273.186,36.28,19.632,36.28,16.07,36.28,230.661,36.28,373.278,36.28,297.665,36.28,193.563,36.28,16.1601,36.28,90.9949,36.28,49.8663,36.28,49.5162,36.28,55.3237,36.28,76.3509,36.28,261.223,36.28,293.698,36.28,245.669,36.28,1419.7,36.28,233.487,36.28,112.557,36.28,232.875,36.28,17.3612,36.28,197.359,36.28,12.533,36.28,16.2724,36.28,109.994,36.28,40.2738,36.28,12.8037,36.28,178.903,36.28,346.658,36.28,396.793,36.28,81.8409,36.28,360.914,36.28,476.667
