,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
22,5.43389,0.09987,5.43336,0.15515,5.43389,0.05161,5.43336,0.08495,5.43336,0.3859,5.43389,0.19846,5.43336,0.35391,5.43389,0.18555,5.43336,0.31854,5.43389,0.25516,5.44,0.2927,5.43336,0.39298
23,5.45361,0.02882,5.45305,0.19367,5.45361,0.02911,5.45305,0.15571,5.45305,0.22717,5.45361,0.01225,5.45305,0.08051,5.45361,0.04862,5.45305,0.25608,5.45361,0.17049,5.46,1.85912,5.45305,0.20703
24,5.47333,0.07532,5.47275,0.1124,5.47333,0.14552,5.47275,0.09754,5.47275,0.0663,5.47333,0.06419,5.47275,0.31647,5.47333,0.02811,5.47275,0.06428,5.47333,0.15224,5.48,5.42619,5.47275,0.35052
25,5.49305,0.02736,5.49245,0.33263,5.49305,0.0502,5.49245,0.06633,5.49245,0.07726,5.49305,0.05666,5.49245,0.13584,5.49305,0.00571,5.49245,0.06516,5.49305,0.17981,5.5,2.00608,5.49245,0.38572
26,5.51277,0.05365,5.51215,0.36119,5.51277,0.0451,5.51215,0.05094,5.51215,0.16984,5.51277,0.26742,5.51215,0.24632,5.51277,0.04289,5.51215,0.08975,5.51277,0.06877,5.52,1.5623,5.51215,0.20063
27,5.5325,0.12141,5.53185,0.21131,5.5325,0.15365,5.53185,0.01692,5.53185,0.07236,5.5325,0.00457,5.53185,0.10609,5.5325,0.02568,5.53185,0.08588,5.5325,0.07532,5.54,0.86867,5.53185,0.36398
28,5.55222,0.10186,5.55154,0.49808,5.55222,0.09026,5.55154,0.27244,5.55154,0.49246,5.55222,0.23275,5.55154,0.13685,5.55222,0.1439,5.55154,0.12826,5.55222,0.03195,5.56,5.20103,5.55154,0.16916
29,5.57194,0.0143,5.57124,0.0682,5.57194,0.09965,5.57124,0.15842,5.57124,0.3365,5.57194,0.07883,5.57124,0.2013,5.57194,0.12175,5.57124,0.11768,5.57194,0.13262,5.58,2.77137,5.57124,0.21273
30,5.59166,0.17146,5.59094,0.13946,5.59166,0.20164,5.59094,0.00479,5.59094,0.2997,5.59166,0.0726,5.59094,0.36504,5.59166,0.1658,5.59094,0.30301,5.59166,0.15027,5.6,0.34238,5.59094,0.15695
31,5.61139,0.05495,5.61064,0.13562,5.61139,0.05894,5.61064,0.15547,5.61064,0.01171,5.61139,0.01244,5.61064,0.02623,5.61139,0.0348,5.61064,0.28723,5.61139,0.03643,5.62,3.41404,5.61064,0.21345
32,5.63111,0.10226,5.63034,0.15175,5.63111,0.09035,5.63034,0.14353,5.63034,0.35552,5.63111,0.18381,5.63034,0.24968,5.63111,0.07552,5.63034,0.03935,5.63111,0.0512,5.64,0.48635,5.63034,0.01848
