,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,5.216943104,0.040928709,5.216677995,0.230240621,5.216943104,0.152663768,5.216677995,0.43979613,5.216677995,0.223211117,5.216943104,0.153270308,5.216677995,0.415459058,5.216943104,0.065090035,5.216677995,0.107607735,5.216943104,0.004197414,5.219999995,1.605398701,5.216677995,0.031954158
11,5.236665204,0.004118618,5.236375995,0.376965508,5.236665204,0.023554385,5.236375995,0.153074538,5.236375995,0.024162085,5.236665204,0.007001674,5.236375995,0.00077553,5.236665204,0.196075545,5.236375995,0.021117822,5.236665204,0.019012299,5.239999995,1.66460386,5.236375995,0.21915689
12,5.256387305,0.141778505,5.256073995,0.231200922,5.256387305,0.041023549,5.256073995,0.047647808,5.256073995,0.452793842,5.256387305,0.064255499,5.256073995,0.10867642,5.256387305,0.120002741,5.256073995,0.080083743,5.256387305,0.119780229,5.259999994,3.22446446,5.256073995,0.152654667
13,5.276109405,0.001680576,5.275771994,0.171168351,5.276109405,0.184135265,5.275771994,0.089004189,5.275771994,0.083303154,5.276109405,0.142174096,5.275771994,0.011638868,5.276109405,0.156427012,5.275771994,0.198525526,5.276109405,0.007048752,5.279999994,2.784980501,5.275771994,0.297598166
14,5.295831505,0.093084098,5.295469994,0.160164986,5.295831505,0.168803602,5.295469994,0.291862918,5.295469994,0.415005389,5.295831505,0.031182394,5.295469994,0.000672018,5.295831505,0.100321899,5.295469994,0.115874442,5.295831505,0.120676011,5.299999993,3.346151984,5.295469994,0.013861942
15,5.315553606,0.113111466,5.315167993,0.213850022,5.315553606,0.007339244,5.315167993,0.384851342,5.315167993,0.065607113,5.315553606,0.159265404,5.315167993,0.022865117,5.315553606,0.110417563,5.315167993,0.165240705,5.315553606,0.083131262,5.319999993,1.407978908,5.315167993,0.285836277
16,5.335275706,0.001826741,5.334865993,0.102322107,5.335275706,0.061245736,5.334865993,0.2215391,5.334865993,0.040412642,5.335275706,0.032300548,5.334865993,0.001147966,5.335275706,0.008142572,5.334865993,0.062801626,5.335275706,0.114955067,5.339999992,0.470461274,5.334865993,0.346315245
17,5.354997806,0.2549806,5.354563992,0.096748854,5.354997806,0.083553246,5.354563992,0.104822223,5.354563992,0.037567143,5.354997806,0.017817224,5.354563992,0.12043425,5.354997806,0.27630117,5.354563992,0.132182535,5.354997806,0.074001757,5.359999992,2.033599081,5.354563992,0.109318872
18,5.374719907,0.043747661,5.374261992,0.521208627,5.374719907,0.099146877,5.374261992,0.193066225,5.374261992,0.215270721,5.374719907,0.003232189,5.374261992,0.194406522,5.374719907,0.134470059,5.374261992,0.102781913,5.374719907,0.18513906,5.379999992,0.09739233,5.374261992,0.028322191
19,5.394442007,0.100665747,5.393959992,0.238120226,5.394442007,0.083320544,5.393959992,0.267707128,5.393959992,0.283046388,5.394442007,0.176350338,5.393959992,0.183684112,5.394442007,0.085294753,5.393959992,0.000489045,5.394442007,0.080647967,5.399999991,0.338158979,5.393959992,0.469113434
20,5.414164107,0.052519932,5.413657991,0.041144954,5.414164107,0.296281236,5.413657991,0.186213548,5.413657991,0.112849104,5.414164107,0.034177072,5.413657991,0.111524326,5.414164107,0.168843802,5.413657991,0.154665839,5.414164107,0.017295836,5.419999991,4.226945153,5.413657991,0.139966184
